#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
s8x570j404oj165essns8x5704vxxd3x,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 20:32:26,2020-07-22 20:34:49,7a8d14cf1d,
nf70p32d33c9tql9t0zfnf70pz85hwlt,Bottle bank,1,1,2,1,1,1,1,2,2,1,1,1,1,1,11,2020-07-22 20:26:12,2020-07-22 20:28:52,363b17021f,
1atoq43jo3r6cr51m8w1adz4w1vk2geh,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-07-22 20:21:21,2020-07-22 20:22:59,ece968e671,
4e3b1hecrswxe0j0dg84e3b1h8xw44fy,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-22 20:15:18,2020-07-22 20:17:00,cccefc7f5d,
kw3pg2pg5gey1sufekeckw30u0pusaju,Bottle bank,1,1,2,2,2,2,1,1,2,1,2,1,2,1,12,2020-07-22 20:13:21,2020-07-22 20:15:11,705daac93d,
teckn0bqbqylqtvvslvtecknt9aie8pn,Bottle bank,1,2,2,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-22 20:09:51,2020-07-22 20:11:35,f034e481d6,
gysaeoi8wwsijkxsxlf2gysaeoihopd1,Bottle bank,1,1,2,Battery bank,2,2,1,1,2,1,2,1,2,1,13,2020-07-22 20:05:05,2020-07-22 20:07:09,57ab8784d3,
rej3ntmq7p6u2ss59hrej3iqzm7iw992,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,2,1,1,1,13,2020-07-22 20:05:04,2020-07-22 20:07:01,6ead2fa947,
5ala94s755n7pwp3j5ala94yt1s4nmzu,Bottle bank,2,2,2,Battery bank,1,1,1,1,2,1,2,1,1,1,12,2020-07-22 20:02:06,2020-07-22 20:05:44,e88f151d81,
2l2zvpxcuwiz71w72l2oumr3myj59z2y,Bottle bank,1,2,2,Battery bank,1,2,1,1,2,1,2,1,2,1,13,2020-07-22 20:02:23,2020-07-22 20:04:07,032279aa63,
26kykg5h02q2ip6yrd4w3ri26kykg3dr,1,1,1,2,Battery bank,1,2,1,1,1,1,1,1,2,1,11,2020-07-22 20:00:43,2020-07-22 20:03:38,d362c20ec4,
