#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
2cc9zohtj9ml0qq2bo2cc9h60iff4jxl,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:38:28,,2020-06-04 18:44:12,8486c24587
25yt1a96x9nph725yt5ycucl74a5llxe,Bottle bank,1,2,1,Battery bank,1,2,1,1,2,1,1,1,2,1,11,2020-06-04 18:42:21,,2020-06-04 18:44:02,f03f164e8a
pkuphs46jgf89v0pkupbnm6mh0aqga7b,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,2,2,1,13,2020-06-04 18:41:25,,2020-06-04 18:43:33,a0098d0893
w0os5ta92wsfdi1o4gw0os5twgb6l2pf,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:41:40,,2020-06-04 18:43:27,c5d507b8a1
8xlu3g5bg8c3ptb1tf858xlu3h7f17qb,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,2,1,1,12,2020-06-04 18:40:26,,2020-06-04 18:42:10,24724f3178
0xd9w8stpfzulqelsydng0xd9w8silyy,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:39:44,,2020-06-04 18:41:54,da6f13d942
binjwa0kxiyd1q2bps9binjwa0ru36in,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:39:32,,2020-06-04 18:41:26,9afa8e167f
6ua11dcjr51zm6uzqkpyc9qf5zc1j8zq,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,11,2020-06-04 18:39:53,,2020-06-04 18:41:19,a1f238c3ec
8icdxith2p5fbgwg4sdi8icdxih817fq,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:37:52,,2020-06-04 18:39:44,d452cf88e1
lqzsyfs966vc89s5lqzswu59oc7fw1i4,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,1,1,13,2020-06-04 18:37:35,,2020-06-04 18:39:14,bbfb8e3bb9
gwo72tcx4gz0om4ijqgwo7cqxvy9mv1m,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:36:36,,2020-06-04 18:38:26,602299aaf5
5gecg56ppd4gq3k6ao5gecgc3v3hiogh,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:36:27,,2020-06-04 18:38:05,ad0d8e9ead
71yld692qznrkxplen71yld69966kiim,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:35:31,,2020-06-04 18:37:29,c6e6d562db
b1rtko79nw0rxfqf3wb1rtlht0bh0nab,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:34:22,,2020-06-04 18:36:33,cd08fa1c75
x05qzrye5pm1ydh4xofx05qzrw04eww5,1,1,1,1,Battery bank,2,1,2,1,1,1,2,1,2,1,10,2020-06-04 18:34:44,,2020-06-04 18:36:27,65a080f042
